generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.032,0.158963,0.005,0
1000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.222449,0.177176,0.108462,0
1000,Cetoscarus_biocolor,NA,11.7376,0.0866255,0.07377,1.29626,0
2000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.326386,0.198331,0.318065,0
2000,Cetoscarus_biocolor,NA,12.2443,0.552661,-0.155667,2.9724,0
3000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.191179,0.161989,0.0061672,0
4000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.158524,0.147482,0.023427,0
4000,Scarus_chameleon,Scarus_festivus,13.5617,1.1562,-0.0647022,0.332059,0
4000,Cetoscarus_biocolor,NA,6.9666,2.12377,-0.129063,1.37386,0
5000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.318979,0.018159,0.149297,0
6000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.193235,0.190476,0.09662,0
6000,Scarus_ferrugineus,NA,15.3972,0.219575,0.0686465,0.319446,0
7000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.178212,0.272556,0.049746,0
7000,Cetoscarus_biocolor,NA,9.31215,0.794586,-0.00161383,0.86173,0
8000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.575642,-0.0264358,0.135622,0
8000,Cetoscarus_biocolor,NA,8.32171,0.106875,-0.0693625,0.531972,0
9000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.575514,-0.0343135,0.0322563,0
9000,Scarus_globiceps_WA,NA,15.7333,2.19031,-0.0106605,0.360926,0
9000,Cetoscarus_biocolor,NA,0.875114,0.0845358,-0.0844114,0.491163,0
10000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.241389,0.173008,0.163809,0
11000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.788624,-0.0612773,0.00550561,0
11000,Scarus_compressus,Scarus_ghobban_GBR,14.8879,0.940717,0.293146,0.25935,0
11000,Hipposcarus_harid,Hipposcarus_longiceps,10.7706,0.171051,-0.145044,0.446167,0
11000,Cetoscarus_biocolor,NA,7.57241,0.100699,-0.153254,1.46677,0
12000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.941567,-0.0601913,0.0377994,0
12000,Hipposcarus_harid,NA,12.045,1.1853,-0.590344,1.20676,0
12000,Cetoscarus_biocolor,NA,8.49815,0.0887575,0.284523,1.83616,0
13000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0466042,0.0205368,0.212744,0
13000,Chlorurus_atrilunula,Scarus_altipinnis,3.96058,0.461539,0.00736983,0.0333605,0
13000,Scarus_fuscopurpureus,NA,14.6037,0.353518,0.233625,0.108473,0
14000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.105135,0.0808765,0.440765,0
14000,Scarus_arabicus,NA,15.777,0.297525,0.175843,1.48737,0
14000,Chlorurus_atrilunula,Scarus_altipinnis,4.15947,0.792005,-0.0756955,0.102913,0
15000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.00528579,-0.0818701,0.275002,0
15000,Chlorurus_strongylocephalus_G,NA,15.708,0.399207,-0.180194,2.77025,0
15000,Chlorurus_atrilunula,Hipposcarus_harid,1.59902,1.33327,-0.108255,0.0960507,0
16000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.207441,0.0960149,0.00501853,0
16000,Cetoscarus_biocolor,NA,0.570446,0.666941,-0.31185,0.512082,0
17000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.574108,-0.291617,0.151094,0
17000,Chlorurus_microrhinos_G,Chlorurus_microrhinos_R,15.2782,1.14391,0.247937,0.415709,0
17000,Chlorurus_atrilunula,Scarus_altipinnis,7.11041,1.30416,-0.187893,0.00104486,0
18000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.183386,0.419674,0.425932,0
18000,Chlorurus_atrilunula,Scarus_altipinnis,8.0753,1.65376,-0.225985,0.0448731,0
19000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.801015,-0.107947,0.551476,0
19000,Scarus_rubroviolaceus_OM,NA,15.3392,1.08091,-0.03209,0.678071,0
19000,Scarus_zufar,NA,14.0788,0.195395,0.098743,0.238911,0
19000,Chlorurus_atrilunula,Scarus_altipinnis,8.91017,1.00602,-0.193186,0.0271773,0
20000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0127913,0.54842,0.0381231,0
20000,Scarus_dubius,NA,15.3933,1.85907,-0.0036989,0.542728,0
20000,Chlorurus_atrilunula,Scarus_altipinnis,8.29175,1.73587,-0.24932,0.177654,0
21000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0484368,0.0974455,0.0901129,0
21000,Chlorurus_enneacanthus,Chlorurus_perspicillatus,13.2286,0.410954,0.0460278,0.603189,0
21000,Chlorurus_atrilunula,Scarus_altipinnis,8.9238,1.1275,-0.20287,0.0646783,0
22000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.141612,-0.0742526,0.124944,0
22000,Scarus_frenatus,NA,14.017,0.564419,-0.174301,2.18423,0
22000,Chlorurus_atrilunula,Scarus_altipinnis,8.61689,2.50817,-0.284989,0.134636,0
22000,Scarus_chameleon,Scarus_globiceps_GBR,11.9454,0.950521,-0.210959,0.128782,0
23000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.418162,-0.213376,0.0487334,0
23000,Chlorurus_atrilunula,Scarus_altipinnis,8.75774,1.41494,-0.251488,0.0372628,0
24000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0697122,-0.118202,0.295446,0
24000,Scarus_coeruleus,NA,15.6086,0.775927,0.129916,0.625451,0
24000,Chlorurus_atrilunula,Scarus_altipinnis,8.51604,1.44208,-0.245132,0.051366,0
25000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.222866,-0.111776,0.270606,0
25000,Chlorurus_atrilunula,Chlorurus_bleekeri,10.0454,1.40222,-0.18859,0.64813,0
25000,Scarus_iseri,NA,15.3616,0.473063,-0.0476919,1.45941,0
25000,Chlorurus_atrilunula,Scarus_altipinnis,8.9629,1.0646,-0.199413,0.0229204,0
26000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0572734,0.177859,0.152839,0
26000,Chlorurus_atrilunula,Scarus_altipinnis,8.64102,1.49276,-0.224822,0.0511384,0
27000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.458222,-0.28911,0.0366753,0
27000,Chlorurus_enneacanthus,Chlorurus_perspicillatus,13.119,0.542671,-0.00310214,0.357727,0
27000,Scarus_dimidiatus,NA,15.5185,1.73744,0.0106607,0.912187,0
27000,Chlorurus_atrilunula,Scarus_altipinnis,7.67271,1.28175,-0.170253,0.0635662,0
28000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0724097,0.183419,0.138675,0
28000,Chlorurus_atrilunula,Scarus_altipinnis,6.84988,2.39839,-0.235456,0.0563733,0
